Time (seconds),Throughput (requests/second)
0,261
1,274
2,259
3,223
4,258
5,261
6,251
7,210
8,205
9,253
10,221
11,258
12,256
13,245
14,245
15,228
16,259
17,269
18,248
19,254
20,254
21,242
22,254
23,246
24,246
25,247
26,240
27,255
28,248
29,241
30,247
31,240
32,254
33,251
34,250
35,264
36,259
37,233
38,240
39,237
40,253
41,262
42,268
43,254
44,238
45,241
46,242
47,237
48,247
49,260
50,236
51,261
52,254
53,250
54,255
55,254
56,252
57,255
58,248
59,255
60,248
61,265
62,268
63,246
64,252
65,245
66,263
67,260
68,260
69,266
70,253
71,256
72,259
73,257
74,250
75,257
76,252
77,260
78,255
79,238
80,220
81,236
82,214
83,265
84,247
85,273
86,266
87,206
88,55
90,68
91,260
92,222
93,224
94,255
95,246
96,247
97,259
98,245
99,254
100,254
101,258
102,256
103,243
104,259
105,261
106,251
107,218
108,253
109,258
110,257
111,259
112,253
113,256
114,248
115,245
116,241
117,260
118,244
119,260
120,252
121,243
122,248
123,250
124,240
125,256
126,245
127,241
128,255
129,257
130,251
131,264
132,263
133,248
134,253
135,259
136,245
137,273
138,240
139,242
140,248
141,243
142,257
143,241
144,248
145,250
146,252
147,251
148,255
149,252
150,263
151,260
152,268
153,246
154,260
155,268
156,271
157,254
158,272
159,256
160,255
161,254
162,262
163,261
164,255
165,261
166,266
167,250
168,235
169,196
170,51
172,35
173,257
174,245
175,244
176,256
177,261
178,249
179,248
180,257
181,252
182,268
183,222
184,210
185,221
186,243
187,255
188,250
189,256
190,250
191,266
192,233
193,254
194,244
195,250
196,231
197,257
198,244
199,237
200,230
201,220
202,235
203,253
204,263
205,264
206,202
207,185
208,154
209,157
210,178
211,258
212,255
213,268
214,268
215,266
216,260
217,262
218,263
219,243
220,255
221,251
222,246
223,228
224,244
225,255
226,272
227,270
228,274
229,269
230,268
231,264
232,259
233,251
234,260
235,256
236,257
237,262
238,265
239,253
240,251
241,265
242,256
243,254
244,272
245,257
246,268
247,264
248,252
249,261
250,258
251,247
252,255
253,78
254,24
257,243
258,247
259,242
260,260
261,229
262,246
263,253
264,250
265,252
266,257
267,248
268,253
269,240
270,255
271,227
272,259
273,252
274,240
275,247
276,265
277,272
278,246
279,253
280,249
281,254
282,262
283,264
284,243
285,224
286,247
287,244
288,262
289,268
290,244
291,265
292,258
293,257
294,252
295,255
296,264
297,246
298,262
299,250
300,264
301,257
302,252
303,266
304,216
305,240
306,229
307,225
308,239
309,241
310,234
311,257
312,245
313,255
314,259
315,248
316,254
317,262
318,259
319,252
320,254
321,243
322,240
323,242
324,240
325,247
326,249
327,258
328,249
329,249
330,236
331,254
332,246
333,255
334,234
335,260
336,224
337,60
339,47
340,255
341,252
342,253
343,244
344,248
345,268
346,254
347,238
348,255
349,253
350,246
351,255
352,253
353,244
354,259
355,209
356,188
357,205
358,206
359,179
360,243
361,268
362,246
363,234
364,254
365,248
366,263
367,252
368,234
369,257
370,263
371,256
372,245
373,256
374,262
375,256
376,263
377,252
378,252
379,243
380,239
381,247
382,237
383,257
384,268
385,266
386,270
387,242
388,249
389,253
390,248
391,257
392,257
393,264
394,250
395,251
396,250
397,273
398,250
399,256
400,245
401,244
402,264
403,266
404,241
405,247
406,257
407,271
408,258
409,271
410,256
411,253
412,265
413,250
414,248
415,243
416,262
417,263
418,267
419,178
420,9
422,169
423,257
424,247
425,278
426,246
427,251
428,252
429,258
430,260
431,243
432,238
433,256
434,236
435,260
436,219
437,241
438,258
439,250
440,241
441,243
442,237
443,261
444,244
445,250
446,265
447,261
448,261
449,238
450,260
451,251
452,267
453,258
454,251
455,258
456,257
457,249
458,256
459,257
460,230
461,238
462,256
463,258
464,248
465,223
466,183
467,213
468,247
469,260
470,246
471,264
472,259
473,252
474,235
475,263
476,261
477,237
478,263
479,260
480,239
481,248
482,258
483,232
484,249
485,245
486,236
487,239
488,244
489,251
490,244
491,274
492,260
493,246
494,241
495,271
496,245
497,241
498,243
499,238
500,246
501,229
502,185
503,16
505,159
506,259
507,249
508,247
509,262
510,263
511,252
512,251
513,257
514,255
515,257
516,253
517,265
518,269
519,252
520,260
521,248
522,240
523,253
524,243
525,244
526,248
527,264
528,256
529,247
530,239
531,243
532,237
533,252
534,220
535,251
536,241
537,256
538,257
539,256
540,249
541,250
542,269
543,275
544,244
545,249
546,253
547,240
548,256
549,262
550,259
551,237
552,262
553,238
554,227
555,271
556,263
557,244
558,252
559,267
560,241
561,254
562,244
563,263
564,255
565,254
566,262
567,252
568,258
569,269
570,272
571,253
572,257
573,234
574,244
575,254
576,231
577,227
578,233
579,227
580,230
581,245
582,253
583,243
584,221
585,52
587,94
588,258
589,261
590,248
591,251
592,247
593,264
594,267
595,253
596,272
597,249
598,263
599,247
600,238
601,243
602,252
603,237
604,256
605,271
606,272
607,252
608,243
609,252
610,242
611,242
612,238
613,250
614,246
615,244
616,267
617,257
618,254
619,243
620,262
621,248
622,255
623,245
624,259
625,253
626,240
627,243
628,248
629,256
630,242
631,264
632,238
633,260
634,250
635,248
636,249
637,247
638,238
639,242
640,274
641,250
642,248
643,249
644,260
645,257
646,253
647,263
648,261
649,264
650,234
651,241
652,233
653,252
654,260
655,258
656,252
657,254
658,254
659,244
660,246
661,241
662,238
663,263
664,255
665,264
666,212
667,60
669,3
670,262
671,254
672,261
673,260
674,264
675,262
676,244
677,245
678,256
679,249
680,248
681,234
682,248
683,247
684,234
685,241
686,262
687,250
688,256
689,246
690,246
691,260
692,247
693,256
694,249
695,254
696,248
697,254
698,255
699,243
700,246
701,238
702,251
703,248
704,250
705,233
706,244
707,230
708,241
709,249
710,249
711,252
712,244
713,224
714,218
715,217
716,229
717,222
718,217
719,221
720,243
721,272
722,252
723,245
724,217
725,221
726,258
727,253
728,246
729,248
730,241
731,232
732,255
733,256
734,252
735,237
736,246
737,252
738,230
739,222
740,210
741,228
742,223
743,245
744,224
745,249
746,246
747,250
748,264
749,258
750,251
751,165
752,42
753,6
755,170
756,223
757,253
758,247
759,258
760,251
761,251
762,255
763,251
764,257
765,248
766,262
767,269
768,257
769,242
770,239
771,253
772,228
773,256
774,236
775,243
776,238
777,230
778,247
779,249
780,250
781,237
782,250
783,243
784,258
785,247
786,254
787,265
788,251
789,245
790,252
791,247
792,222
793,257
794,244
795,244
796,245
797,247
798,238
799,238
800,239
801,245
802,240
803,249
804,248
805,243
806,259
807,241
808,248
809,238
810,257
811,239
812,219
813,251
814,245
815,235
816,208
817,255
818,246
819,194
820,223
821,246
822,253
823,200
824,255
825,233
826,201
827,239
828,252
829,263
830,243
831,234
832,215
833,214
834,217
835,222
836,216
837,186
838,42
840,115
841,250
842,253
843,247
844,236
845,256
846,252
847,205
848,237
849,238
850,255
851,198
852,244
853,244
854,249
855,255
856,252
857,244
858,245
859,215
860,205
861,217
862,244
863,248
864,250
865,222
866,235
867,250
868,240
869,237
870,226
871,235
872,236
873,232
874,242
875,241
876,252
877,242
878,241
879,227
880,241
881,245
882,237
883,247
884,260
885,257
886,250
887,258
888,249
889,268
890,240
891,252
892,242
893,240
894,256
895,257
896,257
897,257
898,231
899,251
900,251
901,254
902,267
903,266
904,262
905,267
906,238
907,240
908,245
909,262
910,254
911,224
912,252
913,248
914,235
915,264
916,239
917,231
918,231
919,253
920,234
921,218
922,135
923,23
925,123
926,245
927,242
928,251
929,249
930,254
931,258
932,246
933,248
934,243
935,208
936,253
937,245
938,248
939,253
940,255
941,248
942,211
943,240
944,247
945,246
946,260
947,232
948,237
949,158
950,170
951,195
952,107
953,149
954,166
955,175
956,172
957,154
958,167
959,182
960,195
961,212
962,145
963,131
964,140
965,144
966,209
967,204
968,198
969,203
970,200
971,204
972,178
973,141
974,133
975,161
976,223
977,205
978,188
979,192
980,188
981,207
982,154
983,167
984,156
985,219
986,256
987,264
988,240
989,248
990,258
991,247
992,252
993,242
994,248
995,217
996,243
997,249
998,236
999,245
1000,244
1001,247
1002,249
1003,246
1004,263
1005,218
1006,262
1007,256
1008,224
1009,249
1010,231
1011,255
1012,243
1013,244
1014,229
1015,245
1016,234
1017,159
1018,23
1020,147
1021,257
1022,251
1023,241
1024,263
1025,248
1026,234
1027,235
1028,241
1029,248
1030,246
1031,247
1032,253
1033,243
1034,249
1035,260
1036,267
1037,271
1038,261
1039,256
1040,225
1041,254
1042,260
1043,254
1044,257
1045,250
1046,248
1047,205
1048,198
1049,218
1050,258
1051,252
1052,251
1053,242
1054,271
1055,245
1056,244
1057,249
