Time (seconds),Throughput (requests/second)
0,280
1,282
2,282
3,280
4,277
5,277
6,276
7,253
8,276
9,279
10,276
11,279
12,274
13,272
14,278
15,261
16,283
17,273
18,282
19,280
20,276
21,276
22,280
23,288
24,277
25,271
26,283
27,276
28,271
29,282
30,276
31,280
32,277
33,282
34,267
35,286
36,256
37,277
38,276
39,270
40,285
41,278
42,288
43,279
44,269
45,271
46,282
47,280
48,279
49,282
50,278
51,246
52,269
53,270
54,256
55,285
56,278
57,280
58,253
59,278
60,282
61,264
62,280
63,281
64,280
65,267
66,279
67,281
68,266
69,275
70,278
71,272
72,277
73,273
74,280
75,271
76,276
77,274
78,289
79,218
80,4
82,236
83,282
84,280
85,264
86,282
87,279
88,284
89,279
90,268
91,278
92,279
93,270
94,270
95,272
96,271
97,273
98,274
99,283
100,281
101,264
102,276
103,281
104,276
105,276
106,282
107,276
108,279
109,276
110,279
111,279
112,285
113,279
114,278
115,263
116,278
117,281
118,270
119,283
120,276
121,271
122,258
123,280
124,286
125,272
126,283
127,281
128,258
129,276
130,285
131,281
132,281
133,286
134,274
135,275
136,286
137,275
138,278
139,285
140,275
141,272
142,281
143,285
144,280
145,272
146,283
147,266
148,277
149,278
150,254
151,277
152,275
153,279
154,133
156,35
157,279
158,280
159,284
160,269
161,276
162,273
163,281
164,273
165,255
166,281
167,274
168,271
169,272
170,285
171,278
172,273
173,280
174,278
175,277
176,276
177,277
178,273
179,286
180,287
181,279
182,276
183,282
184,274
185,275
186,286
187,278
188,276
189,274
190,274
191,280
192,275
193,278
194,279
195,264
196,282
197,282
198,275
199,290
200,278
201,280
202,279
203,282
204,267
205,278
206,274
207,278
208,279
209,283
210,282
211,275
212,277
213,280
214,274
215,268
216,283
217,272
218,279
219,283
220,278
221,275
222,268
223,283
224,280
225,273
226,278
227,290
228,260
229,12
231,189
232,277
233,281
234,279
235,284
236,276
237,277
238,284
239,277
240,279
241,283
242,279
243,285
244,271
245,282
246,279
247,278
248,276
249,277
250,275
251,273
252,279
253,279
254,276
255,275
256,277
257,280
258,266
259,285
260,279
261,273
262,283
263,272
264,272
265,281
266,280
267,280
268,281
269,273
270,278
271,287
272,274
273,282
274,274
275,286
276,284
277,282
278,281
279,278
280,278
281,282
282,280
283,282
284,280
285,271
286,280
287,287
288,278
289,283
290,275
291,273
292,279
293,281
294,279
295,265
296,280
297,275
298,279
299,280
300,277
301,273
302,272
303,53
305,150
306,287
307,281
308,275
309,277
310,281
311,280
312,280
313,279
314,273
315,274
316,280
317,269
318,275
319,273
320,212
321,252
322,272
323,274
324,281
325,279
326,285
327,283
328,278
329,282
330,280
331,283
332,284
333,277
334,280
335,271
336,276
337,285
338,275
339,274
340,283
341,278
342,283
343,282
344,278
345,274
346,278
347,283
348,287
349,271
350,275
351,280
352,278
